RegionName,RegionType,StateName,FIPS,AverageUnemploymentRate(%),Location
Imperial County,County,CA,06025,21.87857151031494,"Imperial County,  CA"
Kusilvak Census Area,County,AK,02158,18.199999945504324,"Kusilvak Census Area,  AK"
Yuma County,County,AZ,04027,17.964285918644496,"Yuma County,  AZ"
Jefferson County,County,MS,28063,17.392857006617955,"Jefferson County,  MS"
Calhoun County,County,WV,54013,16.249999863760813,"Calhoun County,  WV"
Skagway Municipality,County,AK,02230,16.09285729272025,"Skagway Municipality,  AK"
Starr County,County,TX,48427,15.299999918256487,"Starr County,  TX"
Colusa County,County,CA,06011,15.142857142857142,"Colusa County,  CA"
Magoffin County,County,KY,21153,14.650000163487025,"Magoffin County,  KY"
Luna County,County,NM,35029,14.421428203582764,"Luna County,  NM"
